Temperature,Humidity,CO2,Occupancy
23.18,27.272,721.25,1
23.15,27.2675,714,1
23.15,27.245,713.5,1
23.15,27.2,708.25,1
23.1,27.2,704.5,1
23.1,27.2,701,1
23.1,27.2,701.6666667,1
23.1,27.2,699,1
23.1,27.2,689.3333333,1
23.075,27.175,688,1
23.075,27.15,690.25,1
23.1,27.1,691,1
23.1,27.16666667,683.5,1
23.05,27.15,687.5,1
23,27.125,686,1
23,27.125,680.5,1
23,27.2,681.5,0
22.945,27.29,685,0
22.945,27.39,685,0
22.89,27.39,689,0
22.89,27.39,689.5,0
22.89,27.39,689,0
22.89,27.445,691,0
22.89,27.5,688,0
22.89,27.5,689.5,0
22.79,27.445,689,0
22.79,27.5,685.6666667,0
22.79,27.5,687,0
22.79,27.5,688,0
22.745,27.5,670,0
22.7,27.46333333,668.6666667,0
22.7,27.5,670,0
22.7,27.5,667,0
22.66666667,27.42666667,664.5,0
22.7,27.6,670,0
22.6,27.42666667,670.3333333,0
22.6,27.39,672,0
22.6,27.35666667,658,0
22.6,27.445,660.5,0
22.6,27.42666667,658,0
22.6,27.445,655,0
22.6,27.445,654.25,0
22.6,27.39,648,0
22.5,27.32333333,648.6666667,0
22.5,27.445,646,0
22.5,27.5,646,0
22.5,27.445,641.5,0
22.39,27.29,639,0
22.5,27.5,640,0
22.39,27.34,630.5,0
22.39,27.35666667,629.3333333,0
22.39,27.5,632,0
22.39,27.5,636.5,0
22.39,27.5,627.5,0
22.39,27.39,626,0
22.39,27.5,625.5,0
22.34,27.39,623.5,0
22.39,27.46333333,624.6666667,0
22.39,27.39,622,0
22.29,27.39,621,0
22.34,27.39,626.5,0
22.29,27.39,622,0
22.39,27.39,620,0
22.29,27.39,621.5,0
22.29,27.35666667,616.3333333,0
22.29,27.34,609,0
22.29,27.39,614,0
22.29,27.34,613.5,0
22.29,27.34,611,0
22.29,27.39,612,0
22.29,27.29,608,0
22.29,27.29,605.5,0
22.2675,27.315,608.5,0
22.2,27.29,608.5,0
22.245,27.29,602.5,0
22.2,27.29,598,0
22.2,27.29,595,0
22.2,27.29,591,0
22.245,27.245,591,0
22.2,27.2,595,0
22.2,27.29,594.3333333,0
22.2,27.29,593.5,0
22.2,27.29,592,0
22.15,27.245,586.5,0
22.2,27.2,586,0
22.15,27.245,586,0
22.2,27.245,584.5,0
22.1,27.245,584.5,0
22.1,27.2,585.5,0
22.13333333,27.2,584.6666667,0
22.2,27.2,577,0
22.1,27.2,580,0
22.125,27.2,582,0
22.2,27.2,580,0
22.1,27.15,578,0
22.1,27.2,576.5,0
22.1,27.2,580,0
22.1,27.2,572.5,0
22.1,27.2,567,0
22.1,27.2,568,0
22.1,27.2,574.5,0
22.1,27.2,564.3333333,0
22.1,27.2,563,0
22.1,27.15,564.5,0
22.06666667,27.16666667,566.3333333,0
22.1,27.1,562,0
22,27.1,565.5,0
22,27.1,570,0
22.05,27.15,562,0
22,27.1,560,0
22,27.1,558,0
22,27.1,556,0
22,27.1,557,0
21.9175,27.1,556.5,0
21.945,27.1,557.5,0
21.92666667,27.1,555,0
21.89,27.1,555,0
21.89,27.1,553,0
21.89,27.1,549.5,0
21.89,27.1,548.5,0
21.89,27.1,551.5,0
21.89,27.1,548.5,0
21.89,27.1,548,0
21.89,27.1,547.5,0
21.89,27.1,553,0
21.84,27.1,547.5,0
21.85666667,27.1,548.6666667,0
21.79,27.1,540,0
21.79,27.1,538,0
21.79,27.1,542,0
21.79,27.1,542,0
21.79,27.1,538,0
21.79,27.1,537.6666667,0
21.79,27.1,537.5,0
21.79,27.1,536,0
21.745,27.1,534.5,0
21.7,27.1,532.5,0
21.76,27.1,530,0
21.745,27.05,529.5,0
21.79,27.05,531,0
21.73,27,533.3333333,0
21.745,27,531,0
21.745,27,529,0
21.745,27,528.5,0
21.7,27,525,0
21.7,27,528.5,0
21.7,27,530.5,0
21.7,26.89,528,0
21.7,26.89,526,0
21.7,26.89,530,0
21.7,26.89,533.3333333,0
21.7,26.89,529,0
21.7,26.89,528,0
21.7,26.89,526,0
21.7,26.89,526,0
21.7,26.79,521,0
21.7,26.79,518,0
21.7,26.79,515.5,0
21.7,26.79,520,0
21.7,26.7675,523.5,0
21.7,26.79,525.5,0
